,x_position,y_position,z_position,energy_dep
0,-22.179044723510742,-72.50997924804688,-954.6157836914062,1.419000000169035e-05
1,-21.568069458007812,-69.94124603271484,-960.2161865234375,3.4010001400019974e-05
2,-34.023109436035156,-70.09151458740234,-952.938720703125,5.450000116979936e-06
3,-34.971534729003906,-73.21878051757812,-955.6134033203125,0.00013440000475384295
4,43.46539306640625,1.6905485391616821,2497.903564453125,0.00013966999540571123
5,43.23670196533203,1.625500202178955,2497.90625,0.00030682000215165317
6,-49.26719284057617,26.416698455810547,2933.541015625,0.000304340006550774
7,-52.72566604614258,25.92510223388672,2929.742431640625,2.330999996047467e-05
8,-27.49712562561035,-14.47384262084961,2263.335205078125,2.4700000722077675e-05
9,-28.0089111328125,-14.62772274017334,2264.047607421875,0.00024615999427624047
10,-27.86016273498535,-14.669890403747559,2264.088134765625,0.00026808000984601676
12,65.41153717041016,-48.30179214477539,3353.306396484375,4.4860000343760476e-05
15,-3.310234308242798,-30.36310577392578,-964.7816162109375,3.4010001400019974e-05
16,4.771850109100342,-28.68170166015625,-953.2523193359375,4.338000144343823e-05
18,0.8595130443572998,-43.202980041503906,3341.076416015625,1.2909999895782676e-05
19,0.7103834748268127,-44.72024917602539,3341.500244140625,7.67800011090003e-05
21,-32.00722885131836,13.039795875549316,-944.5853271484375,0.00013481000496540219
22,-39.70357131958008,28.020565032958984,2093.209228515625,1.0959999599435832e-05
23,-45.76081085205078,32.42568588256836,2100.236572265625,0.00016527000116184354
24,-45.756866455078125,32.42580795288086,2100.236328125,8.089000039035454e-05
25,-45.00325393676758,32.762451171875,2100.37744140625,0.0003133100108243525
28,-16.81440544128418,-64.69165802001953,-940.2989501953125,2.922999919974245e-05
29,-16.756181716918945,-64.72338104248047,-940.1138305664062,0.00013522000517696142
32,-58.91139221191406,-44.2941780090332,6083.5166015625,4.1369999962626025e-05
34,-44.90690612792969,-39.35637283325195,6102.9091796875,1.419000000169035e-05
35,-51.71870803833008,-45.80609130859375,6112.8818359375,2.8340000426396728e-05
36,-50.279666900634766,-42.288692474365234,6110.72314453125,0.00018837999959941953
37,5.958466529846191,40.46110534667969,2187.96484375,0.0002217599976575002
38,6.021446228027344,40.18098068237305,2187.2548828125,4.383999839774333e-05
39,3.4318511486053467,44.15099334716797,2185.331787109375,0.00020959999528713524
40,3.2033677101135254,44.30843734741211,2185.1044921875,9.215000318363309e-05
41,-38.01606369018555,7.056241035461426,2216.030029296875,1.0959999599435832e-05
42,-41.66945266723633,-20.40013885498047,2206.8642578125,4.7220000851666555e-05
43,-43.665374755859375,-19.391979217529297,2206.853515625,0.00013966999540571123
44,-43.3209228515625,-19.232730865478516,2207.250244140625,0.00023489999875891954
45,-46.81413650512695,-69.6720962524414,-948.8924560546875,0.00013481000496540219
46,-26.492158889770508,36.334632873535156,2961.511474609375,0.00016407000657636672
48,15.343147277832031,8.890824317932129,6074.5771484375,1.419000000169035e-05
49,23.401107788085938,-1.440548062324524,6065.57080078125,1.419000000169035e-05
50,20.648801803588867,8.371559143066406,6063.81396484375,6.761000258848071e-05
51,33.922279357910156,16.92853546142578,6066.05126953125,6.761000258848071e-05
52,33.9262580871582,16.93535804748535,6066.06591796875,0.00012076999701093882
53,20.643070220947266,8.35960578918457,6063.81494140625,2.8340000426396728e-05
55,8.884771347045898,9.092498779296875,3118.686767578125,3.8580001273658127e-05
58,22.62418556213379,-2.627406358718872,3353.045654296875,5.249999958323315e-06
59,26.89370346069336,-1.4334909915924072,3349.70703125,4.450000051292591e-05
61,30.260059356689453,43.558658599853516,1478.8206787109375,0.00021128999651409686
62,30.298471450805664,43.483245849609375,1478.8206787109375,0.00015310999879147857
63,-31.754154205322266,36.97217559814453,2256.94580078125,1.0959999599435832e-05
64,-33.22832489013672,35.97441482543945,2259.422607421875,0.00010142000246560201
65,-45.47295379638672,27.583419799804688,2274.1279296875,9.383999713463709e-05
66,-45.62104034423828,27.66478157043457,2274.029296875,0.00030404000426642597
68,37.51905822753906,-65.35296630859375,-340.32830810546875,5.112999861012213e-05
69,-40.54772186279297,-38.4854621887207,2394.18310546875,4.7220000851666555e-05
70,-41.3336181640625,-40.169822692871094,2394.1875,2.1919999198871665e-05
71,-46.42749786376953,-70.1489486694336,2360.922119140625,2.1919999198871665e-05
72,-45.018394470214844,-75.0296859741211,2362.13037109375,1.2350000361038838e-05
73,-43.20439910888672,-76.23784637451172,2357.851318359375,0.0001643699943087995
74,-43.189144134521484,-76.48582458496094,2358.046142578125,0.00010310999641660601
75,-43.1857795715332,-76.49609375,2358.0400390625,0.0001253299997188151
78,34.59095001220703,-27.514989852905273,6084.68994140625,2.922999919974245e-05
81,-17.744081497192383,-12.053701400756836,2979.64599609375,0.0005276799784041941
82,-51.141998291015625,20.56694793701172,2504.3662109375,4.523000097833574e-05
83,-49.77796173095703,21.445480346679688,2504.7099609375,0.00015959999291226268
84,-49.66380310058594,21.415742874145508,2504.59033203125,0.00012919999426230788
86,-42.98074722290039,29.15811538696289,2397.35205078125,0.00011636000272119418
87,-43.58509063720703,29.280651092529297,2394.90234375,0.00016357999993488193
88,-43.51559829711914,29.355403900146484,2394.87451171875,0.00020820999634452164
90,30.865991592407227,-17.260055541992188,-340.0098876953125,7.711999933235347e-05
92,15.88110065460205,-65.5843276977539,-973.5831298828125,2.922999919974245e-05
93,18.911474227905273,-60.20761489868164,-975.1368408203125,0.00010120999650098383
94,20.604867935180664,-20.510217666625977,2369.4208984375,0.0001297999988310039
95,58.41207504272461,-27.2730655670166,2379.537841796875,6.913999823154882e-05
96,15.939251899719238,33.44905090332031,2151.4873046875,0.00011575999815249816
97,1.461250901222229,32.24574279785156,2147.04052734375,0.00039758000639267266
98,-22.337364196777344,-7.127008438110352,2201.63720703125,0.00017702000332064927
99,-12.736559867858887,-12.22255802154541,2207.846923828125,6.913999823154882e-05
100,-11.420663833618164,-13.186980247497559,2204.557861328125,0.00011575999815249816
101,-11.423535346984863,-13.190254211425781,2204.560302734375,0.00023320999753195792
103,-18.13619613647461,-6.491678237915039,3353.33740234375,2.9319999157451093e-05
104,-18.13559913635254,-6.4915971755981445,3353.33544921875,5.1300001359777525e-05
105,-18.136011123657227,-6.490133285522461,3353.3408203125,3.8490001315949485e-05
106,6.9225263595581055,44.508907318115234,2815.987548828125,0.00013907000538893044
107,13.142207145690918,-35.94291687011719,1745.224365234375,0.00016357999993488193
108,9.645674705505371,-69.50357818603516,1733.284912109375,4.7220000851666555e-05
109,1.2899093627929688,-82.78752136230469,1728.3857421875,1.2350000361038838e-05
